Bestbuy_name,Bestbuy_sku,Bestbuy_price,Bestbuy_link
"Dell Alienware 26.7"" QHD 360Hz 0.03ms GTG OLED LED FreeSync Gaming Monitor (AW2725DF) - Dark Side of the Moon",17683673,899.99,https://www.bestbuy.ca/en-ca/product/17683673
"Dell 27"" QHD 165Hz 1ms IPS LED G-Sync FreeSync Gaming Monitor (G2724D) - Black",17160814,449.99,https://www.bestbuy.ca/en-ca/product/17160814
"Dell 27"" 4K Ultra HD 60Hz 4ms GTG IPS LED FreeSync Monitor (S2722QC) - Platinum Silver",15805115,479.99,https://www.bestbuy.ca/en-ca/product/15805115
"Dell 27"" WQHD 100Hz 4ms IPS LED Monitor (S2725DS) - Silver",17864930,329.99,https://www.bestbuy.ca/en-ca/product/17864930
"Dell 27"" FHD 75Hz 4ms GTG IPS LED FreeSync Gaming Monitor (Dell S2721NX v2) - Black",16663596,249.99,https://www.bestbuy.ca/en-ca/product/16663596
"Dell UltraSharp 27 4K USB-C Hub Monitor - U2723QE - 68.47cm (27"") DELL-U2723QE",17702763,878.02,https://www.bestbuy.ca/en-ca/product/17702763
Dell 32 4K UHD Monitor - SE3223Q,16582256,389.99,https://www.bestbuy.ca/en-ca/product/16582256
Dell UltraSharp 32 4K USB-C Hub Monitor - U3223QE,16368656,1089.99,https://www.bestbuy.ca/en-ca/product/16368656
"DELL U4323QE UltraSharp 43"" Monitor, 4K 3840x2160 60Hz, USB-C - 2xHDMI - 2xDP, IPS",17957738,849.0,https://www.bestbuy.ca/en-ca/product/17957738
"Dell SE2722H 27"" FHD LED Monitor with AMD FreeSync, HDMI and VGA Inputs",15726709,149.99,https://www.bestbuy.ca/en-ca/product/15726709
Dell 24 Inch Monitor - S2421HN,17153933,139.99,https://www.bestbuy.ca/en-ca/product/17153933
Dell 24 Touch USB-C Hub Monitor P2424HT - Brand New,17475955,549.99,https://www.bestbuy.ca/en-ca/product/17475955
Dell 32 Curved FHD Monitor - S3222HN,16235556,219.99,https://www.bestbuy.ca/en-ca/product/16235556
Dell 32 4K USB-C Hub Monitor - P3223QE,16445314,619.99,https://www.bestbuy.ca/en-ca/product/16445314
Dell UltraSharp 49 Curved USB-C Hub Monitor - U4924DW,17165278,1739.99,https://www.bestbuy.ca/en-ca/product/17165278
Dell UltraSharp 27 Monitor - U2724D,17732335,450.97,https://www.bestbuy.ca/en-ca/product/17732335
Dell 24 Monitor - S2421NX,17851614,149.99,https://www.bestbuy.ca/en-ca/product/17851614
Dell 32 4K UHD Gaming Monitor with 144Hz Refresh Rate and 95% DCI-P3 Color Gamut,17146592,599.99,https://www.bestbuy.ca/en-ca/product/17146592
Dell 14 Portable Monitor - P1424H,17151006,344.99,https://www.bestbuy.ca/en-ca/product/17151006
"Dell U2723QE UltraSharp Monitor 27"" 4K 3840x2160 at 60Hz, USB-C, HDMI, DP, IPS",17985259,499.0,https://www.bestbuy.ca/en-ca/product/17985259
Dell UltraSharp 43 4K USB-C Hub Monitor - U4323QE,17103744,1094.99,https://www.bestbuy.ca/en-ca/product/17103744
Dell 27 USB-C Hub Monitor - P2722HE,16242354,422.97,https://www.bestbuy.ca/en-ca/product/16242354
Dell UltraSharp 38 Curved USB-C Hub Monitor - U3824DW,17168839,1559.99,https://www.bestbuy.ca/en-ca/product/17168839
"Dell S Series 27"" FHD LCD 75Hz HDMI AMD FreeSync Grey Monitor (S2721HN)",16616568,199.99,https://www.bestbuy.ca/en-ca/product/16616568
Dell 27 Monitor - P2722H,15611203,329.99,https://www.bestbuy.ca/en-ca/product/15611203
"Dell P3421W 34.1"" WQHD Curved Screen WLED LCD Monitor - 21:9 - Black",16372809,887.99,https://www.bestbuy.ca/en-ca/product/16372809
Dell 24 Monitor - E2424HS,17154912,179.99,https://www.bestbuy.ca/en-ca/product/17154912
Dell 27 4K USB-C Hub Monitor - P2723QE,16372813,609.99,https://www.bestbuy.ca/en-ca/product/16372813
Dell 27 Curved Gaming Monitor – S2721HGF,16368658,249.99,https://www.bestbuy.ca/en-ca/product/16368658
"Dell 24 inch Monitor FHD (1920 x 1080) 16:9 Ratio with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare Screen with 3H Hardness, Black - SE2422HX",16242309,276.07,https://www.bestbuy.ca/en-ca/product/16242309
"NEW - Dell P2422H 24 inch Full HD IPS LED Monitor - 1920 x 1080, 16.7 million colors, 5ms, HDMI, VGA, Display Port, Tilt, Pivot, Height Adjustable",17933714,219.99,https://www.bestbuy.ca/en-ca/product/17933714
Dell 27 Monitor - S2725HS,17983312,189.99,https://www.bestbuy.ca/en-ca/product/17983312
"Dell 34"" WQHD LCD 144Hz USB 3.2 HDMI Black Curved Gaming Monitor (2NOF4)",16235559,658.73,https://www.bestbuy.ca/en-ca/product/16235559
Dell 24'' S2421HS Monitor,15832252,149.99,https://www.bestbuy.ca/en-ca/product/15832252
Dell UltraSharp 34 Curved USB-C Hub Monitor - U3423WE,17083377,1007.97,https://www.bestbuy.ca/en-ca/product/17083377
Dell 25 Gaming Monitor - G2524H,17203560,299.99,https://www.bestbuy.ca/en-ca/product/17203560
Dell 24 Inch QHD Monitor - P2423D,16445494,389.99,https://www.bestbuy.ca/en-ca/product/16445494
Dell UltraSharp 27 Thunderbolt™ Hub Monitor - U2724DE,17718315,654.99,https://www.bestbuy.ca/en-ca/product/17718315
Dell UltraSharp 24 Monitor - U2424H,17729946,379.99,https://www.bestbuy.ca/en-ca/product/17729946
"Dell 31.5"" 1440p WQHD 165Hz 2ms GTG Curved VA LED FreeSync Gaming Monitor (S3222DGM) - Black",15692895,549.99,https://www.bestbuy.ca/en-ca/product/15692895
"DELL 32"" 8K UHD 60Hz 6ms GTG IPS LCD Monitor (DELL-UP3218K) - Black",16652591,5115.99,https://www.bestbuy.ca/en-ca/product/16652591
"Dell 22"" FHD LCD 60 Hz VGA HDMI Black Monitor (SE2222H)",16235558,135.0,https://www.bestbuy.ca/en-ca/product/16235558
Dell 27 Monitor - P2723D,16375747,479.97,https://www.bestbuy.ca/en-ca/product/16375747
Dell UltraSharp 32 4K Video Conferencing Monitor - U3223QZ,16445300,1464.99,https://www.bestbuy.ca/en-ca/product/16445300
Dell UltraSharp 27 4K PremierColor Monitor - UP2720Q,16245939,1704.97,https://www.bestbuy.ca/en-ca/product/16245939
Dell 34 Curved USB-C Hub Monitor - P3424WE,17812330,909.99,https://www.bestbuy.ca/en-ca/product/17812330
"Dell E-Series 21.5"" FHD LCD 60Hz HDMI DisplayPort Black Monitor (E2222HS)",16370868,159.99,https://www.bestbuy.ca/en-ca/product/16370868
Dell UltraSharp 24 USB-C® Hub Monitor - U2424HE,17741948,449.99,https://www.bestbuy.ca/en-ca/product/17741948
Dell UltraSharp 24 Monitor - U2422H,15805603,397.71,https://www.bestbuy.ca/en-ca/product/15805603
"Dell 27"" FHD 240Hz 1ms GTG IPS LED FreeSync Gaming Monitor (G2723H)-Ascent Grey",17460803,279.99,https://www.bestbuy.ca/en-ca/product/17460803
Dell 27 Gaming Monitor - G2723HN,16618483,333.99,https://www.bestbuy.ca/en-ca/product/16618483
"Dell 22 Monitor | E2221HN - 54.7cm (21.5"") DELL-E2221HN",15448011,227.97,https://www.bestbuy.ca/en-ca/product/15448011
Dell UltraSharp 40 Curved Thunderbolt™ Hub Monitor - U4025QW,17983316,2629.99,https://www.bestbuy.ca/en-ca/product/17983316
Dell 24 Monitor - P2425H,17983322,249.99,https://www.bestbuy.ca/en-ca/product/17983322
Dell 22 Monitor - P2225H,17983317,214.99,https://www.bestbuy.ca/en-ca/product/17983317
Dell Monitor Slim Soundbar - SB521A,15230263,69.97,https://www.bestbuy.ca/en-ca/product/15230263
"DELL 21.4"" FHD 60Hz 10ms, 5ms GTG VA LCD Monitor - (DELL-E2222HS)",16652580,167.99,https://www.bestbuy.ca/en-ca/product/16652580
