Dell_product,Dell_price,Bestbuy_price,Newegg_price
Dell 22 Monitor - SE2222H,89.99,Not sold in this retailer,138.42
Dell 24 Monitor - SE2422H,99.99,124.99,Not sold in this retailer
Dell 27 Monitor - SE2722H,119.99,149.99,189.99
Dell 24 Monitor - S2425HS,129.99,Not sold in this retailer,Not sold in this retailer
Dell 22 Monitor – E2223HN,134.99,169.99,133.32
Dell 24 Monitor – S2421HN,139.99,139.99,Not sold in this retailer
Dell 27 Monitor - S2721HN,139.99,199.99,Not sold in this retailer
Dell 27 Monitor - S2725H,149.99,191.99,Not sold in this retailer
Dell 24 Monitor - S2425H,149.99,149.99,Not sold in this retailer
Dell 22 Monitor - E2222H,149.99,135.0,Not sold in this retailer
Dell 22 Monitor - E2222HS,149.99,149.99,169.99
Dell 24 Monitor – E2423H,174.99,119.97,Not sold in this retailer
Dell 24 Monitor - E2424HS,179.99,179.99,178.72
Dell 27 Monitor - S2725HS,189.99,189.99,Not sold in this retailer
Dell 27 Monitor - E2724HS,199.99,Not sold in this retailer,192.82
Dell 27 Monitor – E2723H,199.99,199.99,182.42
Dell 22 Monitor - P2222H,204.99,204.99,185.12
Dell 22 Monitor - P2225H,214.99,214.99,Not sold in this retailer
Dell 32 Curved FHD Monitor - S3222HN,219.99,219.99,Not sold in this retailer
Dell 24 Monitor - P2422H,249.99,219.99,249.99
Dell 24 Monitor - P2425H,249.99,249.99,Not sold in this retailer
Dell 27 Curved Gaming Monitor – S2721HGF,249.99,249.99,Not sold in this retailer
Dell 24 Video Conferencing Monitor - C2423H,289.99,Not sold in this retailer,294.22
Dell 27 4K UHD Monitor - S2721QS,299.99,599.0,560.28
Dell 25 Gaming Monitor - G2524H ,299.99,Not sold in this retailer,Not sold in this retailer
Dell 27 Monitor - S2725DS,299.99,329.99,Not sold in this retailer
Dell 27 Monitor - P2725H,309.99,309.99,311.22
Dell 27 Curved Gaming Monitor – S2722DGM,329.99,431.5,Not sold in this retailer
"Dell 14"" Portable Travel Monitor - P1424H",344.99,344.99,353.22
Dell 24 USB-C Hub Monitor - P2422HE,349.99,434.99,353.22
Dell 34 Curved Monitor - S3422DW,349.99,Not sold in this retailer,530.99
Dell 27 Gaming Monitor - G2724D,349.99,449.99,Not sold in this retailer
Dell 24 USB-C® Hub Monitor - P2425HE,354.99,354.99,Not sold in this retailer
Dell 32 Curved Gaming Monitor – S3222DGM,369.99,369.99,Not sold in this retailer
Dell UltraSharp 24 Monitor - U2424H,379.99,379.99,340.12
Dell 27 USB-C® Hub Monitor - P2725HE,399.99,399.99,411.55
Alienware 27 Gaming Monitor - AW2724HF,399.99,399.99,Not sold in this retailer
Dell 27 USB-C Monitor - S2722DC,399.99,Not sold in this retailer,499.99
Dell 24 Monitor - P2423D,419.99,389.99,408.42
Dell 24 Monitor - P2425,429.99,429.99,Not sold in this retailer
Dell 34 Curved Gaming Monitor – S3422DWG,449.99,Not sold in this retailer,742.39
Alienware 25 Gaming Monitor - AW2523HF,449.99,449.99,624.99
Dell UltraSharp 24 USB-C® Hub Monitor - U2424HE,449.99,449.99,443.72
Dell 32 Curved 4K UHD Monitor - S3221QS,469.99,499.99,Not sold in this retailer
Dell 27 Monitor - P2723D,469.99,479.97,456.32
Dell 27 Inch USB-C Hub Computer Monitor - P2723DE,489.99,Not sold in this retailer,Not sold in this retailer
Dell 24 USB-C® Hub Monitor - P2425E,489.99,489.99,Not sold in this retailer
Dell 24 USB-C Hub Monitor - P2423DE,489.99,Not sold in this retailer,484.32
Alienware 27 Gaming Monitor - AW2724DM,499.99,499.99,624.99
Dell UltraSharp 27 Monitor - U2724D,509.99,450.97,426.12
Dell 27 4K UHD USB-C Monitor - S2722QC,519.99,519.99,Not sold in this retailer
Dell 24 Touch USB-C Hub Monitor - P2424HT,549.99,396.76,553.22
Dell 24 Video Conferencing Monitor - P2424HEB,559.99,584.97,576.55
