Dell_product,Dell_product_id,Dell_price,Dell_specs,Dell_link
Dell 27 4K UHD Monitor - S2721QS,"Manufacturer part JYN09
Dell part 210-AXLG",299.99,"['27""', '4K UHD (2160p) 3840 x 2160 at 60 Hz', 'Speakers - stereo', 'Swivel, tilt', 'HDMI, DisplayPort 1.2, Audio line-out']",www.dell.com/en-ca/shop/dell-27-4k-uhd-monitor-s2721qs/apd/210-axlg/monitors-monitor-accessories
Dell 34 Curved Monitor - S3422DW,"Manufacturer part GD7M7
Dell part 210-AXNS",399.99,"['34""', 'WQHD 3440 x 1440 @ 100Hz', 'Speakers - stereo', 'Height, tilt', '2 x HDMI (HDCP 2.2), DisplayPort 1.2, USB 3.0 upstream, USB 3.0 downstream, USB 3.0 downstream with Battery Charging 1.2, Audio line-out']",www.dell.com/en-ca/shop/dell-34-curved-monitor-s3422dw/apd/210-axns/monitors-monitor-accessories?dbp=1
Dell 24 Monitor - S2425HS,"Manufacturer part FHN4J
Dell part 210-BMGZ",129.99,"['23.8""', '1920 x 1080', 'Integrated 2 x 5W speakers', 'Height-Adjustability Stand, Tilt, Swivel, Pivot', '2 x HDMI (HDCP1.4) ( Supports up to FHD 1920 x 1080 100Hz, as per specified in HDMI1.4)']",www.dell.com/en-ca/shop/dell-24-monitor-s2425hs/apd/210-bmgz/monitors-monitor-accessories
Dell 27 Monitor - SE2722H,"Manufacturer part KH7DX
Dell part 210-AYYH",119.99,"['27""', 'Full HD (1080p) 1920 x 1080 at 75 Hz', 'VA', 'Tilt only', 'HDMI (HDCP 1.4), VGA']",www.dell.com/en-ca/shop/dell-27-monitor-se2722h/apd/210-ayyh/monitors-monitor-accessories
Dell 24 Monitor - SE2422H,"Manufacturer part XYHRC
Dell part 210-AYXT",99.99,"['24""', 'Full HD (1080p) 1920 x 1080 at 75 Hz', 'VA', 'Tilt only', 'HDMI (HDCP 1.4), VGA']",www.dell.com/en-ca/shop/dell-24-monitor-se2422h/apd/210-ayxt/monitors-monitor-accessories
Dell 32 Curved FHD Monitor - S3222HN,"Manufacturer part WXXFC
Dell part 210-BBQY",219.99,"['32""', 'Full HD (1080p) 1920 x 1080 at 75 Hz', 'Tilt', 'HDMI, Audio line-out', '2 x HDMI cable']",www.dell.com/en-ca/shop/dell-32-curved-fhd-monitor-s3222hn/apd/210-bbqy/monitors-monitor-accessories
Dell 24 Monitor - S2425H,"Manufacturer part 9442G
Dell part 210-BMGX",149.99,"['23.8""', '1920 x 1080', 'Integrated 2 x 5W speakers', 'Tilt', '2 x HDMI (HDCP 1.4) ( Supports up to FHD 1920 x 1080 100Hz, as per specified in HDMI1.4)']",www.dell.com/en-ca/shop/dell-24-monitor-s2425h/apd/210-bmgx/monitors-monitor-accessories
Dell 27 Monitor - S2725HS,"Manufacturer part PW1F2
Dell part 210-BMHB",189.99,"['27""', '1920 x 1080', 'Integrated 2 x 5W speakers', 'Height-Adjustability Stand, Tilt, Swivel, Pivot', '2 x HDMI (HDCP1.4) ( Supports up to FHD 1920 x 1080 100Hz, as per specified in HDMI1.4)']",www.dell.com/en-ca/shop/dell-27-monitor-s2725hs/apd/210-bmhb/monitors-monitor-accessories
Alienware 25 Gaming Monitor - AW2523HF,"Manufacturer part 36GWG
Dell part 210-BFED",449.99,"['24.5""', 'Full HD (1080p) 1920 x 1080 (DisplayPort: 360 Hz, HDMI: 255 Hz)', 'VESA Adaptive-Sync, AMD FreeSync Premium', '1 ms (grey-to-grey extreme), 0.5 ms (grey-to-grey min)', '2 x HDMI, DisplayPort 1.4, USB 3.2 Gen 1 downstream with Battery Charging 1.2, 3 x USB 3.2 Gen 1 downstream, USB 3.2 Gen 1 upstream, Headphones, Audio line-out']",www.dell.com/en-ca/shop/alienware-25-gaming-monitor-aw2523hf/apd/210-bfed/monitors-monitor-accessories
Dell 27 Curved Gaming Monitor – S2721HGF,"Manufacturer part KP49D
Dell part 210-AXGW",249.99,"['27""', 'Full HD (1080p) 1920 x 1080 at 144 Hz', 'NVIDIA® G-SYNC® Compatible Certified\nAMD FreeSync™ Premium Technology ', '4 ms (grey-to-grey); 1 ms (MPRT)', '2 x HDMI (HDCP 1.4), DisplayPort 1.2, Audio line-out']",www.dell.com/en-ca/shop/dell-27-curved-gaming-monitor-s2721hgf/apd/210-axgw/monitors-monitor-accessories
